demojized,description
:woman_judge:,"judge, justice, scales, woman, woman, judge"
:woman_judge_light_skin_tone:,"judge, justice, light skin tone, scales, woman, woman, judge:, light, skin, tone"
:woman_judge_medium-light_skin_tone:,"judge, justice, medium-light skin tone, scales, woman, woman, judge:, medium-light, skin, tone"
:woman_judge_medium_skin_tone:,"judge, justice, medium skin tone, scales, woman, woman, judge:, medium, skin, tone"
:woman_judge_medium-dark_skin_tone:,"judge, justice, medium-dark skin tone, scales, woman, woman, judge:, medium-dark, skin, tone"
:woman_judge_dark_skin_tone:,"dark skin tone, judge, justice, scales, woman, woman, judge:, dark, skin, tone"
:farmer:,"farmer, gardener, rancher, farmer"
:farmer_light_skin_tone:,"farmer, gardener, light skin tone, rancher, farmer:, light, skin, tone"
:farmer_medium-light_skin_tone:,"farmer, gardener, medium-light skin tone, rancher, farmer:, medium-light, skin, tone"
:farmer_medium_skin_tone:,"farmer, gardener, medium skin tone, rancher, farmer:, medium, skin, tone"
:farmer_medium-dark_skin_tone:,"farmer, gardener, medium-dark skin tone, rancher, farmer:, medium-dark, skin, tone"
:farmer_dark_skin_tone:,"dark skin tone, farmer, gardener, rancher, farmer:, dark, skin, tone"
:man_farmer:,"farmer, gardener, man, rancher, man, farmer"
:man_farmer_light_skin_tone:,"farmer, gardener, light skin tone, man, rancher, man, farmer:, light, skin, tone"
:man_farmer_medium-light_skin_tone:,"farmer, gardener, man, medium-light skin tone, rancher, man, farmer:, medium-light, skin, tone"
:man_farmer_medium_skin_tone:,"farmer, gardener, man, medium skin tone, rancher, man, farmer:, medium, skin, tone"
:man_farmer_medium-dark_skin_tone:,"farmer, gardener, man, medium-dark skin tone, rancher, man, farmer:, medium-dark, skin, tone"
:man_farmer_dark_skin_tone:,"dark skin tone, farmer, gardener, man, rancher, man, farmer:, dark, skin, tone"
:woman_farmer:,"farmer, gardener, rancher, woman, woman, farmer"
:woman_farmer_light_skin_tone:,"farmer, gardener, light skin tone, rancher, woman, woman, farmer:, light, skin, tone"
:woman_farmer_medium-light_skin_tone:,"farmer, gardener, medium-light skin tone, rancher, woman, woman, farmer:, medium-light, skin, tone"
:woman_farmer_medium_skin_tone:,"farmer, gardener, medium skin tone, rancher, woman, woman, farmer:, medium, skin, tone"
:woman_farmer_medium-dark_skin_tone:,"farmer, gardener, medium-dark skin tone, rancher, woman, woman, farmer:, medium-dark, skin, tone"
:woman_farmer_dark_skin_tone:,"dark skin tone, farmer, gardener, rancher, woman, woman, farmer:, dark, skin, tone"
:cook:,"chef, cook, cook"
:cook_light_skin_tone:,"chef, cook, light skin tone, cook:, light, skin, tone"
:cook_medium-light_skin_tone:,"chef, cook, medium-light skin tone, cook:, medium-light, skin, tone"
:cook_medium_skin_tone:,"chef, cook, medium skin tone, cook:, medium, skin, tone"
:cook_medium-dark_skin_tone:,"chef, cook, medium-dark skin tone, cook:, medium-dark, skin, tone"
:cook_dark_skin_tone:,"chef, cook, dark skin tone, cook:, dark, skin, tone"
:man_cook:,"chef, cook, man, man, cook"
:man_cook_light_skin_tone:,"chef, cook, light skin tone, man, man, cook:, light, skin, tone"
:man_cook_medium-light_skin_tone:,"chef, cook, man, medium-light skin tone, man, cook:, medium-light, skin, tone"
:man_cook_medium_skin_tone:,"chef, cook, man, medium skin tone, man, cook:, medium, skin, tone"
:man_cook_medium-dark_skin_tone:,"chef, cook, man, medium-dark skin tone, man, cook:, medium-dark, skin, tone"
:man_cook_dark_skin_tone:,"chef, cook, dark skin tone, man, man, cook:, dark, skin, tone"
:woman_cook:,"chef, cook, woman, woman, cook"
:woman_cook_light_skin_tone:,"chef, cook, light skin tone, woman, woman, cook:, light, skin, tone"
:woman_cook_medium-light_skin_tone:,"chef, cook, medium-light skin tone, woman, woman, cook:, medium-light, skin, tone"
:woman_cook_medium_skin_tone:,"chef, cook, medium skin tone, woman, woman, cook:, medium, skin, tone"
:woman_cook_medium-dark_skin_tone:,"chef, cook, medium-dark skin tone, woman, woman, cook:, medium-dark, skin, tone"
:woman_cook_dark_skin_tone:,"chef, cook, dark skin tone, woman, woman, cook:, dark, skin, tone"
:mechanic:,"electrician, mechanic, plumber, tradesperson, mechanic"
:mechanic_light_skin_tone:,"electrician, light skin tone, mechanic, plumber, tradesperson, mechanic:, light, skin, tone"
:mechanic_medium-light_skin_tone:,"electrician, mechanic, medium-light skin tone, plumber, tradesperson, mechanic:, medium-light, skin, tone"
:mechanic_medium_skin_tone:,"electrician, mechanic, medium skin tone, plumber, tradesperson, mechanic:, medium, skin, tone"
:mechanic_medium-dark_skin_tone:,"electrician, mechanic, medium-dark skin tone, plumber, tradesperson, mechanic:, medium-dark, skin, tone"
:mechanic_dark_skin_tone:,"dark skin tone, electrician, mechanic, plumber, tradesperson, mechanic:, dark, skin, tone"
:man_mechanic:,"electrician, man, mechanic, plumber, tradesperson, man, mechanic"
:man_mechanic_light_skin_tone:,"electrician, light skin tone, man, mechanic, plumber, tradesperson, man, mechanic:, light, skin, tone"
:man_mechanic_medium-light_skin_tone:,"electrician, man, mechanic, medium-light skin tone, plumber, tradesperson, man, mechanic:, medium-light, skin, tone"
:man_mechanic_medium_skin_tone:,"electrician, man, mechanic, medium skin tone, plumber, tradesperson, man, mechanic:, medium, skin, tone"
:man_mechanic_medium-dark_skin_tone:,"electrician, man, mechanic, medium-dark skin tone, plumber, tradesperson, man, mechanic:, medium-dark, skin, tone"
:man_mechanic_dark_skin_tone:,"dark skin tone, electrician, man, mechanic, plumber, tradesperson, man, mechanic:, dark, skin, tone"
:woman_mechanic:,"electrician, mechanic, plumber, tradesperson, woman, woman, mechanic"
:woman_mechanic_light_skin_tone:,"electrician, light skin tone, mechanic, plumber, tradesperson, woman, woman, mechanic:, light, skin, tone"
:woman_mechanic_medium-light_skin_tone:,"electrician, mechanic, medium-light skin tone, plumber, tradesperson, woman, woman, mechanic:, medium-light, skin, tone"
:woman_mechanic_medium_skin_tone:,"electrician, mechanic, medium skin tone, plumber, tradesperson, woman, woman, mechanic:, medium, skin, tone"
:woman_mechanic_medium-dark_skin_tone:,"electrician, mechanic, medium-dark skin tone, plumber, tradesperson, woman, woman, mechanic:, medium-dark, skin, tone"
:woman_mechanic_dark_skin_tone:,"dark skin tone, electrician, mechanic, plumber, tradesperson, woman, woman, mechanic:, dark, skin, tone"
:factory_worker:,"assembly, factory, industrial, worker, factory, worker"
:factory_worker_light_skin_tone:,"assembly, factory, industrial, light skin tone, worker, factory, worker:, light, skin, tone"
:factory_worker_medium-light_skin_tone:,"assembly, factory, industrial, medium-light skin tone, worker, factory, worker:, medium-light, skin, tone"
:factory_worker_medium_skin_tone:,"assembly, factory, industrial, medium skin tone, worker, factory, worker:, medium, skin, tone"
:factory_worker_medium-dark_skin_tone:,"assembly, factory, industrial, medium-dark skin tone, worker, factory, worker:, medium-dark, skin, tone"
:factory_worker_dark_skin_tone:,"assembly, dark skin tone, factory, industrial, worker, factory, worker:, dark, skin, tone"
:man_factory_worker:,"assembly, factory, industrial, man, worker, man, factory, worker"
:man_factory_worker_light_skin_tone:,"assembly, factory, industrial, light skin tone, man, worker, man, factory, worker:, light, skin, tone"
:man_factory_worker_medium-light_skin_tone:,"assembly, factory, industrial, man, medium-light skin tone, worker, man, factory, worker:, medium-light, skin, tone"
:man_factory_worker_medium_skin_tone:,"assembly, factory, industrial, man, medium skin tone, worker, man, factory, worker:, medium, skin, tone"
:man_factory_worker_medium-dark_skin_tone:,"assembly, factory, industrial, man, medium-dark skin tone, worker, man, factory, worker:, medium-dark, skin, tone"
:man_factory_worker_dark_skin_tone:,"assembly, dark skin tone, factory, industrial, man, worker, man, factory, worker:, dark, skin, tone"
:woman_factory_worker:,"assembly, factory, industrial, woman, worker, woman, factory, worker"
:woman_factory_worker_light_skin_tone:,"assembly, factory, industrial, light skin tone, woman, worker, woman, factory, worker:, light, skin, tone"
:woman_factory_worker_medium-light_skin_tone:,"assembly, factory, industrial, medium-light skin tone, woman, worker, woman, factory, worker:, medium-light, skin, tone"
:woman_factory_worker_medium_skin_tone:,"assembly, factory, industrial, medium skin tone, woman, worker, woman, factory, worker:, medium, skin, tone"
:woman_factory_worker_medium-dark_skin_tone:,"assembly, factory, industrial, medium-dark skin tone, woman, worker, woman, factory, worker:, medium-dark, skin, tone"
:woman_factory_worker_dark_skin_tone:,"assembly, dark skin tone, factory, industrial, woman, worker, woman, factory, worker:, dark, skin, tone"
:office_worker:,"architect, business, manager, office worker, white-collar, office, worker"
:office_worker_light_skin_tone:,"architect, business, light skin tone, manager, office worker, white-collar, office, worker:, light, skin, tone"
:office_worker_medium-light_skin_tone:,"architect, business, manager, medium-light skin tone, office worker, white-collar, office, worker:, medium-light, skin, tone"
:office_worker_medium_skin_tone:,"architect, business, manager, medium skin tone, office worker, white-collar, office, worker:, medium, skin, tone"
:office_worker_medium-dark_skin_tone:,"architect, business, manager, medium-dark skin tone, office worker, white-collar, office, worker:, medium-dark, skin, tone"
:office_worker_dark_skin_tone:,"architect, business, dark skin tone, manager, office worker, white-collar, office, worker:, dark, skin, tone"
:man_office_worker:,"architect, business, man, man office worker, manager, white-collar, man, office, worker"
:man_office_worker_light_skin_tone:,"architect, business, light skin tone, man, man office worker, manager, white-collar, man, office, worker:, light, skin, tone"
:man_office_worker_medium-light_skin_tone:,"architect, business, man, man office worker, manager, medium-light skin tone, white-collar, man, office, worker:, medium-light, skin, tone"
:man_office_worker_medium_skin_tone:,"architect, business, man, man office worker, manager, medium skin tone, white-collar, man, office, worker:, medium, skin, tone"
:man_office_worker_medium-dark_skin_tone:,"architect, business, man, man office worker, manager, medium-dark skin tone, white-collar, man, office, worker:, medium-dark, skin, tone"
:man_office_worker_dark_skin_tone:,"architect, business, dark skin tone, man, man office worker, manager, white-collar, man, office, worker:, dark, skin, tone"
:woman_office_worker:,"architect, business, manager, white-collar, woman, woman office worker, woman, office, worker"
:woman_office_worker_light_skin_tone:,"architect, business, light skin tone, manager, white-collar, woman, woman office worker, woman, office, worker:, light, skin, tone"
:woman_office_worker_medium-light_skin_tone:,"architect, business, manager, medium-light skin tone, white-collar, woman, woman office worker, woman, office, worker:, medium-light, skin, tone"
:woman_office_worker_medium_skin_tone:,"architect, business, manager, medium skin tone, white-collar, woman, woman office worker, woman, office, worker:, medium, skin, tone"
:woman_office_worker_medium-dark_skin_tone:,"architect, business, manager, medium-dark skin tone, white-collar, woman, woman office worker, woman, office, worker:, medium-dark, skin, tone"
:woman_office_worker_dark_skin_tone:,"architect, business, dark skin tone, manager, white-collar, woman, woman office worker, woman, office, worker:, dark, skin, tone"
:scientist:,"biologist, chemist, engineer, physicist, scientist, scientist"
:scientist_light_skin_tone:,"biologist, chemist, engineer, light skin tone, physicist, scientist, scientist:, light, skin, tone"
:scientist_medium-light_skin_tone:,"biologist, chemist, engineer, medium-light skin tone, physicist, scientist, scientist:, medium-light, skin, tone"
:scientist_medium_skin_tone:,"biologist, chemist, engineer, medium skin tone, physicist, scientist, scientist:, medium, skin, tone"
:scientist_medium-dark_skin_tone:,"biologist, chemist, engineer, medium-dark skin tone, physicist, scientist, scientist:, medium-dark, skin, tone"
:scientist_dark_skin_tone:,"biologist, chemist, dark skin tone, engineer, physicist, scientist, scientist:, dark, skin, tone"
:man_scientist:,"biologist, chemist, engineer, man, physicist, scientist, man, scientist"
:man_scientist_light_skin_tone:,"biologist, chemist, engineer, light skin tone, man, physicist, scientist, man, scientist:, light, skin, tone"
:man_scientist_medium-light_skin_tone:,"biologist, chemist, engineer, man, medium-light skin tone, physicist, scientist, man, scientist:, medium-light, skin, tone"
:man_scientist_medium_skin_tone:,"biologist, chemist, engineer, man, medium skin tone, physicist, scientist, man, scientist:, medium, skin, tone"
:man_scientist_medium-dark_skin_tone:,"biologist, chemist, engineer, man, medium-dark skin tone, physicist, scientist, man, scientist:, medium-dark, skin, tone"
:man_scientist_dark_skin_tone:,"biologist, chemist, dark skin tone, engineer, man, physicist, scientist, man, scientist:, dark, skin, tone"
:woman_scientist:,"biologist, chemist, engineer, physicist, scientist, woman, woman, scientist"
:woman_scientist_light_skin_tone:,"biologist, chemist, engineer, light skin tone, physicist, scientist, woman, woman, scientist:, light, skin, tone"
:woman_scientist_medium-light_skin_tone:,"biologist, chemist, engineer, medium-light skin tone, physicist, scientist, woman, woman, scientist:, medium-light, skin, tone"
:woman_scientist_medium_skin_tone:,"biologist, chemist, engineer, medium skin tone, physicist, scientist, woman, woman, scientist:, medium, skin, tone"
:woman_scientist_medium-dark_skin_tone:,"biologist, chemist, engineer, medium-dark skin tone, physicist, scientist, woman, woman, scientist:, medium-dark, skin, tone"
:woman_scientist_dark_skin_tone:,"biologist, chemist, dark skin tone, engineer, physicist, scientist, woman, woman, scientist:, dark, skin, tone"
:technologist:,"coder, developer, inventor, software, technologist, technologist"
:technologist_light_skin_tone:,"coder, developer, inventor, light skin tone, software, technologist, technologist:, light, skin, tone"
:technologist_medium-light_skin_tone:,"coder, developer, inventor, medium-light skin tone, software, technologist, technologist:, medium-light, skin, tone"
:technologist_medium_skin_tone:,"coder, developer, inventor, medium skin tone, software, technologist, technologist:, medium, skin, tone"
